id;name;author;statusId;date_created;typology;technologies;connectedness;text_2;plot;pred_plot;text;regNumber
5c3e1a1e93fa687ca4aeef9a;«Вид города Томска».1770. Из серии «Собрание Российских и Сибирских городов».;Махаев Михайла Иванович (1716-1770);6;1770г.;графика;бумага «верже» с водяным знаком, резец;1.0; вид город томск из серия собрание российский и сибирский город;;61;вид город томск из серия собрание российский и сибирский город махаев михайла иванович  бумага верже с водяной знак резец;10111826
5c3e096b93fa687ca4bd1cca;Гравюра. Охотничий павильон в Зверинце в Царском Селе.;Махаев М. И.;6;сер.18 в.;графика;бумага, гравюра резцом;1.0;гравюра охотничий павильон в зверинец в царский село;;27;гравюра охотничий павильон в зверинец в царский село махаев м и бумага гравюра резец;11627121
5c3e0a1393fa687ca4c62ddb;"Гравюра. Проспект вверх по Неве реке к востоку между Галерною Верфью и 13 ой Линией Васильевского Острова».


";Махаев Михаил Иванович , Еляков Иван Петрович (Гравер);6;1750-1753;графика;резцовая гравюра, офорт, бумага;1.0;гравюра проспект вверх по нева река к восток между галерный верфь и ой линия васильевский остров;;51;гравюра проспект вверх по нева река к восток между галерный верфь и  ой линия васильевский остров махаев михаил иванович  еляков иван петрович гравер резцовый гравюра офорт бумага;11902858
5c3e0a1393fa687ca4c62de9;Гравюра. Проспект старого Зимнего дворца, с каналом, соединяющим Мойку с Невой.;Махаев Михаил Иванович , Виноградов Ефим Григорьевич (Гравер);6;1750-1760;графика;гравюра резцом, бумага;1.0;гравюра проспект старый зимний дворец с канал соединять мойка с нева;;16;гравюра проспект старый зимний дворец с канал соединять мойка с нева махаев михаил иванович  виноградов ефим григорьевич гравер гравюра резец бумага;11902855
5c3e0a1393fa687ca4c62df0;"Гравюра. Проспект Адмиралтейства и около лежащих строений с частью Невской проспектной дороги в западную сторону.
";Махаев Михаил Иванович;6;1750-1760;графика;гравюра, бумага;1.0;гравюра проспект адмиралтейство и около лежать строение с часть невский проспектный дорога в западный сторона;;17;гравюра проспект адмиралтейство и около лежать строение с часть невский проспектный дорога в западный сторона махаев михаил иванович гравюра бумага;11902854
5c3e0a1393fa687ca4c62dfd;"Гравюра на меди. Проспект вниз по реке Неве от Невского моста между Исаакиевской церковью и кадетским корпусом (гравюра на 2 листах)
";Махаев Михаил Иванович (Автор рисунка и гравер)  , Васильев Яков Васильевич (Гравер);6;1755-1761;графика;офорт, резец, бумага (лист на);1.0;гравюра на медь проспект вниз по река нева от невский мост между исаакиевский церковь и кадетский корпус гравюра на лист;;38;гравюра на медь проспект вниз по река нева от невский мост между исаакиевский церковь и кадетский корпус гравюра на  лист махаев михаил иванович автор рисунок и гравер   васильев яков васильевич гравер офорт резец бумага лист на;11902852
5c3e0a1393fa687ca4c62e29;"Эстампы. Проспект Биржи и Гостинного Дворца вверх по Малой Неве реке.
Из альбома «План столичного города Санктпетербурга с изображением знатнейших онаго проспектов, изданных трудами Императорской Академии наук и художеств в Санктпетербурге». СПб., 1753.

";Махаев Михаил Иванович , Еляков Иван Петрович (Гравер);6;1750-1753гг.;графика;резец, офорт, гравюра, бумага;1.0;эстамп проспект биржа и гостинный дворец вверх по малый нева река из альбом план столичный город санктпетербург с изображение знатный оный проспект издавать труд императорский академия наука и художество в санктпетербург спб;;58;эстамп проспект биржа и гостинный дворец вверх по малый нева рекеиз альбом план столичный город санктпетербург с изображение знатный оный проспект издавать труд императорский академия наука и художество в санктпетербург спб  махаев михаил иванович  еляков иван петрович гравер резец офорт гравюра бумага;11902844
5c3e0a1393fa687ca4c62e2f;"Гравюра на меди. Проспект вниз по Неве реке между Зимним её императорского  величества домом и Академией Наук.
";Махаев Михаил Иванович (Автор рисунка и гравер);6;1755-1761;графика;гравюра, бумага;1.0;гравюра на медь проспект вниз по нева река между зимний ее императорский величество дом и академия наука;;69;гравюра на медь проспект вниз по нева река между зимний ее императорский  величество дом и академия наука махаев михаил иванович автор рисунок и гравер гравюра бумага;11902843
5c3e0a1393fa687ca4c62e37;"Гравюра. Проспект вверх по Неве реке от Адмиралтейства и Академии Наук к востоку.
";Махаев Михаил Иванович , Виноградов Ефим Григорьевич (Гравер);6;1753;графика;гравюра, бумага;1.0;гравюра проспект вверх по нева река от адмиралтейство и академия наука к восток;;1;гравюра проспект вверх по нева река от адмиралтейство и академия наука к восток махаев михаил иванович  виноградов ефим григорьевич гравер гравюра бумага;11902842
63000d9781ee893a171241f5;офорт. Зверинец в Кусково;Махаев М И , Дениссар П. Ф.;6;1778;графика;бумага, офорт;1.0;офорт зверинец в кусково;;2;офорт зверинец в кусково махаев м и  дениссар п ф бумага офорт;14170697
