regNumber,labels,class_predict,name,connectedness
17573457,-1,2.0,Картина «Меншиковский дворец».,3.0
26623908,-1,1.0,Здание Двенадцати коллегий на Васильевском острове.,2.0
14574406,-1,1.0,Проспект по реке Фонтанке от Грота и Запасного дворца,2.0
40088955,-1,2.0,Перспектива Невского проспекта от реки Мойки к реке Фонтанке.,3.0
20408349,-1,1.0,"Галстук мужской классический с надписями ""Симбирск-Ульяновск"". Изготовлен по заказу Городской Думы к 355-летию города. Принадлежал Зубову А.Н.",4.0
15253253,-1,2.0,"Открытка с репродукцией раскрашенной гравюры Г.А.Качалова по рисунку М.И.Махаева. Академия наук и Кунсткамера. Деталь панорамы ""Проспект вниз по Неве-реке между Зимним дворцом и Академией художеств"". 1753. Принадлежала И.А.Бродскому",4.0
11250941,-1,1.0,Вид Кремля в Москве с Каменного моста через Москву-реку. Репродукция работы М. И. Махаева. Государственный научно-исследовательский музей архитектуры имени А. В. Щусева.,4.0
17123680,-1,1.0,Иллюстрация. 5. Здание Академии наук в первой половине XVIII века. С гравюры М. И. Махаева. из комплекта иллюстраций [М.В. Ломоносов в истории XVIII века: альбом иллюстраций и документов: наглядное учебное пособие по литературе для средней школы],4.0
17152156,-1,2.0,"(Россия, Москва).  ""Красная площадь. (1762 г.)"" Таблица [29].",3.0
17333394,-1,1.0,"Большой (Екатерининский) дворец. Дворцово-парковый ансамбль. 1717-24 гг., 1742 г., 1751-56 гг.; Дворцово-парковый ансамбль. Ленинградская обл., Царское Село.  Большой (Екатерининский) дворец. Из серии гравюр с видами загородных дворцов С.-Петербурга. Растрелли Франческо Бартоломео (Варфоломей Варфоломеевич); Браунштейн Иоганн Фридрих; Земцов Михаил Григорьевич; Квасов Андрей Васильевич. Фасад дворца с парадным двором, огражденным металлической оградой с кордегардиями. Гравированы при Императорской Академии наук.",2.0
17333404,-1,1.0,"Большой дворец. Дворцово-парковый ансамбль. 1716-1721 гг.,1745-1755 гг.; Дворцово-парковый ансамбль. Ленинградская обл., г. Петергоф (Петродворец). Дворцово-парковый ансамбль. Большой дворец. Из серии гравюр с видами загородных дворцов С.-Петербурга. Браунштейн Иоганн Фридрих; Леблон Жан-Батист; Растрелли Франческо Бартоломео (Варфоломей Варфоломеевич). Фасад. Гравированы при Императорской Академии Наук и Художеств.",2.0
17333401,-1,1.0,"Большой (Екатерининский) дворец. Дворцово-парковый ансамбль. 1717-24 гг., 1742 г., 1751-56 гг.; Дворцово-парковый ансамбль. Ленинградская обл., Царское Село.  Охотничий домик. Из серии гравюр с видами загородных дворцов С.-Петербурга. Растрелли Франческо Бартоломео (Варфоломей Варфоломеевич); Браунштейн Иоганн Фридрих; Земцов Михаил Григорьевич; Квасов Андрей Васильевич. Фасад. Гравированы при Императорской Академии наук.",2.0
17333378,-1,2.0,"Большой Меншиковский дворец. 3-й переулок. 1710-1727. Лениниградская  обл., г. Ораниенбаум (Ломоносов). Большой Меншиковский дворец. Из серии гравюр с видами загородных дворцов С.-Петербурга. Фонтана Джованни Марио; Шедель Иоганн Готфрид. Фасад. Перспектива. Гравированы при Императорской Академии Наук и Художеств.",2.0
18619650,-1,1.0,"Адмиралтейство со стороны Невского проспекта, из комплекта открыток ""Город глазами художников. Петербург – Петроград – Ленинград"". Открытка",2.0
18619669,-1,2.0,"Здание Двенадцати коллегий и Гостиный двор, из комплекта открыток ""Город глазами художников. Петербург – Петроград – Ленинград"". Открытка",2.0
18619597,-1,1.0,"Вид вниз по Неве от наплавного моста, из комплекта открыток ""Город глазами художников. Петербург – Петроград – Ленинград"". Открытка",4.0
18619642,-1,3.0,"Вид Большой Немецкой (или Миллионной) улицы от Главной аптеки к Зимнему дворцу, из комплекта открыток ""Город глазами художников. Петербург – Петроград – Ленинград"". Открытка",4.0
18619613,-1,1.0,"Аничковский дворец, Невский проспект и дворец И.И. Шувалова от берега Фонтанки, из комплекта открыток ""Город глазами художников. Петербург – Петроград – Ленинград"". Открытка",4.0
19376879,-1,1.0,Открытка художественная. М. И. Махаев. Вид Большой Немецкой (или Миллионной) улицы от Главной аптеки к Зимнему дворцу. 1751,4.0
19469142,-1,1.0,Открытка художественная. Неизвестный художник XVIII в. По рисунку М. И. Махаева 1753 г. Здание Двенадцати коллегий в Петербурге. Третья четверть XVIII в.,4.0
19469198,-1,1.0,"Открытка художественная. Неизвестный художник по рисунку М. И. Махаева 1750 г. (с дополнениями). Аничковский дворец, Невский проспект и дворец И. И. Шувалова от берега Фонтанки. Конец 1750-х гг.",4.0
23849798,-1,1.0,Открытка «Вид реки Фонтанки от Грота и Запасного дворца. 1753 ». Из набора открыток «Старый Эрмитаж»,4.0
19469099,-1,1.0,Открытка художественная. Неизвестный художник по рисунку М. И. Махаева 1749 г. (Вид вниз по Неве от наплавного моста. 1750-е гг.,4.0
28869080,-1,2.0,"Вид Летнего дворца. С рисунка М. И. Махаева, гравюра А. Грекова. Лист из альбома ""Историческая панорама С.-Петербурга"". Ч. I - ""От основания Петербурга до екатерининской эпохи"".",4.0
36589110,-1,2.0,"Репродукция. Вид вверх по Неве-реке от Адмиралтейства и Академии наук 1753 г. (офорт с рисунка М.И. Махаева, выполненного под наблюдением Д. Валериани в 1749 г.). Из альбома ""Русская гравюра конца XVII-XVIII века""",4.0
39133046,-1,1.0,"Вид реки Фонтанки от Грота и Запасного дворца. 1753 г. Гравер Г. А. Качалов с рисунка М. И. Махаева. Офорт, гравюра.",4.0
9038527,-1,2.0,"Русский рисунок XVIII - первой половины XIX века. - Книга 1. А - П. - М.: Красная площадь,",4.0
27579334,-1,1.0,"Обложка. Папка от набора открыток ""Петербург ХVIII - ХIХ вв. В гравюрах и акварелях"". Из комплекта: Комплект открыток ""Петербург ХVIII - ХIХ вв. В гравюрах и акварелях""",4.0
12847845,-1,1.0,"Летний дворец, г. Санкт-Петербург (Ленинград). Летний дворец. 1711-1712 гг. Трезини Доменико Андреа; Шлютер А. Фото с гравюры Грекова по рис. Махаева. Дворец со стороны реки Мойки.",5.0
17198374,-1,2.0,"Негатив на стеклянном носителе. Проспект вниз по Неве реке, гравюра М.И. Махаева.",5.0
17198373,-1,1.0,"Негатив на стеклянном носителе. Проспект вниз по  Неве реке, гравюра М.И. Махаева.",5.0
17198304,-1,2.0,"Негатив на стеклянном носителе. Проспект вниз по Неве реке, гравюра М.И. Махаева.",5.0
19364605,-1,1.0,"Государственный научно-исследовательский музей архитектуры им. А.В. Щусева. Воздвиженка, 5/25, Донской монастырь, г. Москва. Государственный научно-исследовательский музей архитектуры им. А.В. Щусева.  Донской монастырь. Выставка ""К истории русского градостроительства XVIII - н.ХХ вв."" 1976 г. Экспозиция. Раздел  ""Застройка Петербурга I половина XVIII в. ( с гравюрами Махаева)"".",5.0
21595736,-1,2.0,"Репродукция с гравюры Махаева М.И. Панорама Невы с видом на палаты графа Апраксина, на Адмиралтейство и Васильевский остров. 1730 - 1740-х годов.",4.0
25575007,-1,1.0,г. Пушкин. Охотничий павильон. С гравюры Махаева.,5.0
35237147,-1,1.0,"«Проспект государственных коллегий», гравюра по рисунку М.И. Махаева, XVIII в. Вид проспекта с государственными коллегиями и частью гостиного двора в восточную сторону. Гравер: Внуков Ф.",5.0
35253024,-1,3.0,"Иллюстрация к статье В.Н. Всеволодского-Гернгросса «Театральные здания в Санкт-Петербурге в XVIII столетии», опубликованной в журнале «Старые годы», февраль-март, 1910 г.: «Местоположение Оперного дома, сгоревшего в 1749 г., по гравюре Махаева». г. Санкт-Петербург. Фрагмент гравюры М.И. Махаева «Проспект Невской перспективной дороги». Гравер: Махаев М.И.",5.0
35257784,-1,2.0,"Иллюстрация к статье В.Н. Всеволодского-Гернгросса «Театральные здания в Санкт-Петербурге в XVIII столетии», опубликованной в журнале «Старые годы», февраль-март, 1910 г.: «Головкинский дом (второе здание справа) на месте нынешней Академии Художеств (С гравюры Махаева)». Комедиантский дом пер. пол. XVIII в. г. Санкт-Петербург. Фрагмент гравюры М.И. Махаева «Проспект вниз по Неве реке от Невского моста между Исаакиевской церковью и корпусом кадетским» 1753 г. Гравер: Махаев М.И.",5.0
35259327,-1,2.0,"Перспектива главного ансамбля. Ленинградская область, г. Ломоносов (Ораниенбаум). Рис. Махаев",4.0
36922813,-1,2.0,Рисунок. Красные ворота. г. Москва. По рис. М. Махаева. Перспектива,5.0
36945273,-1,2.0,Офорт. Виды городов Селентинска и Нерчинска. Кон. XVIII в. Рис. М. Махаев. Общий вид,5.0
37045669,-1,2.0,"Фотокопия. Вид города Якутска середины 18 в., с юго-восточной стороны. Продолжение (восточный конец города). По академической гравюре Махаева. Резцовая гравюра по рисункам И.В.Люрсениуса.",5.0
37045656,-1,2.0,"Фотокопия. Вид города Якутска середины 18 в., с юго-восточной стороны. По академической гравюре Махаева. Резцовая гравюра по рисункам И.В.Люрсениуса.",5.0
40420485,-1,2.0,"Фотография черно-белая. Вид набережной Мойки и Невского проспекта (с гравюры Г.А.Качалова по рисунку М.И.Махаева, середина XVIII века)",5.0
40594244,-1,2.0,Триумфальные  ворота на Тверской улице в Белом городе.  г. Москва. Общий вид.,5.0
40633911,-1,2.0,"Общий вид усадьбы Кусково с северной стороны, г. Москва. Вид с гравюры М.И. Махаева",5.0
40633899,-1,2.0,"Общий вид усадьбы Кусково с южной стороны, г. Москва. Вид с гравюры М.И. Махаева",5.0
40633859,-1,1.0,"Голландский домик в усадьбе Кусково, г. Москва. Вид с гравюры М.И. Махаева",5.0
40633897,-1,2.0,"План усадьбы Кусково, г. Москва. Вид с гравюры М.И. Махаева",5.0
6779713,-1,2.0,Фотография. Гравюра Михаила Махаева. Первое изображение г. Симбирска.,5.0
9860365,-1,2.0,"Фотография. Сцена из спектакля. Косова - Янко Т.Ф., Антонов - Махаев. ""В бурю"". Москва, Музыкальный театр имени Вл. И. Немировича-Данченко",5.0
18061396,-1,2.0,Вид Кремлевского старого дворца с Красным крыльцом и Золотою решеткою. Гравюра,2.0
18061355,-1,2.0,Вид Московского Летнего дворца на Южной и Западной стороне. Гравюра,2.0
19190075,-1,2.0,Ожерелье,1.0
19263281,-1,2.0,Вид старого Зимнего дворца и Зимней канавки.,2.0
19263261,-1,2.0,Перспективный вид Невы вниз по течению от здания Зимнего дворца и Академии Наук.,2.0
19263240,-1,2.0,Вид Малой Невы и Гостиного двора.,2.0
21156428,-1,2.0,"[Вид на набережную Невы у Академии наук и Кунсткамеры. Фрагмент.], с гравюры Г.А.Качалова по рисунку М.И.Махаева, репродукция",4.0
21156370,-1,2.0,"[Вид на набережную Невы у Академии наук и Кунсткамеры], с гравюры Г.А.Качалова по рисунку М.И.Махаева, пересъемка, пересъемка",5.0
21156342,-1,2.0,"""Академия наук и Кунсткамера. Деталь панорамы. 1753 г."", с гравюры Г.А. Качалова по рисунку М.И.Махаева, открытка",4.0
21156590,-1,2.0,"""Старинный Гостинный двор на Васильевском острове"", со старинной гравюры по рисунку М. Махаева, вырезка из печатного издания",4.0
21156566,-1,2.0,"""Вид реки Фонтанки от Грота и Запасного дворца. 1753 г."" с гравюры Г.А.Качалова по рисунку М.И.Махаева, открытка",4.0
21156525,-1,2.0,"""Вид Миллионной улицы от главной аптеки к Зимнему дворцу"" работы М.Махаева, открытка",4.0
22111996,-1,2.0,Петербург. Летний (ныне не существующий) дворец в Петербурге в XVIII столетии.,2.0
22105349,-1,2.0,Императорский дворец в Царском Селе.,1.0
22142534,-1,2.0,Проспект вниз по Неве реке между Зимним дворцом и Академией наук.,2.0
22142508,-1,2.0,Проспект вверх по Неве реке от Адмиралтейства и Академии наук.,2.0
22290774,-1,2.0,Вид города Казани во время разлива реки Казанки,3.0
22290767,-1,2.0,Вид города Свияжска с южной стороны,3.0
23044453,-1,2.0,Панорама Большого Ораниенбаумского дворца. (Левая половина панорамы). часть двухлистовой гравюы «Проспект Ораниенбаума»,2.0
23465165,-1,2.0,"""Петербург"". Гравюра",1.0
23464937,-1,2.0,"""Петербург. Проспект Государственных коллегий"". Гравюра",1.0
24220462,-1,2.0,Вид Новгорода.,2.0
24220418,-1,2.0,Вид Бронницкой горы близ Новгорода.,2.0
24221024,-1,2.0,Вид Кремля в Москве с Каменного моста через Москву-реку.,2.0
24221147,-1,2.0,Вид Кремля из Замоскворечья между Каменным и Живым мостом к полудню.,1.0
25141913,-1,3.0,Вид города Якуцка (Якутска),1.0
26623921,-1,2.0,Вид здания Государственных коллегий со стороны Невы.,2.0
26485075,-1,2.0,Проспект Летняго Ея императорского Величества дому с северную сторону,2.0
26623909,-1,2.0,Вид Старого Зимнего дворца со стороны Невы.,2.0
26707603,-1,2.0,Галерея в парке графине Бестужевой - Рюминой на Каменном острове.,2.0
26707638,-1,2.0,"Вид павильона для народных гуляний на Каменном острове, принадлежащем графине Бестужевой - Рюминой.",2.0
26707582,-1,2.0,Вид дачи графини Бестужевой - Рюминой на Каменном острове.,2.0
26923594,-1,2.0,Кремль. Вид Кремля в Москве с Каменного моста чрез Москву-реку.,2.0
