regNumber,labels,class_predict,name,connectedness
26861072,0,1.0,"Панорама Невы вверх по течению с видом на Адмиралтейство и здания Академии наук. Лист из атласа к изданию Н.Г. Леклерка «История естественная, нравственная, гражданская и политическая древней [и современной] России» (N.G. Le Clerc, Atlas Volume of “Histoire physique, morale, civile et politique de la Russie Ancienne [et moderne]”). Гравюра",3.0
26974205,0,1.0,«Проспект вверх по Неве реке от Адмиралтейства и Академии Наук к востоку». Левая часть панорамы. из альбома «План столичного города Санкт-Петербурга с изображением знатнейших оного проспектов». Императорская Академия Наук и Художеств. Санкт-Петербург.,2.0
36495135,0,1.0,Набережные Невы. Петербург. Вид Невы между Зимним дворцом и Академией Наук.,3.0
36495081,0,2.0,Набережные Невы. Петербург. Вид берегов Невы вверх по течению между Адмиралтейством и Академией Наук.,1.0
36495082,0,2.0,Набережные Невы. Петербург. Вид Невы между Исаакиевской церковью и Кадетским корпусом.,3.0
36495092,0,3.0,Набережные Невы. Петербург. Вид берегов Невы вверх по течению между Адмиралтейством и Академией Наук.,1.0
16706980,0,1.0,Петербург. Набережная Невы между Галерной верфью и 13 линией Васильевского острова,3.0
16707007,0,1.0,Петербург. Перспектива вверх по Неве между Адмиралтейством и Академией Наук,3.0
33808697,1,2.0,Гравюра. Проспект здания Государственных Коллегий с частью Гостиного двора.,2.0
33808679,1,2.0,Гравюра. Проспект государственных коллегий с частью Гостиного двора с восточной стороны.,2.0
12847845,1,1.0,"Летний дворец, г. Санкт-Петербург (Ленинград). Летний дворец. 1711-1712 гг. Трезини Доменико Андреа; Шлютер А. Фото с гравюры Грекова по рис. Махаева. Дворец со стороны реки Мойки.",5.0
18170690,1,1.0,Летний дворец Елизаветы Петровны в Санкт-Петербурге,2.0
26485075,1,2.0,Проспект Летняго Ея императорского Величества дому с северную сторону,2.0
28563602,1,2.0,"Проспект Оранжереи в саду села Кускова, принадлежащем Его Сиятельству Графу Петру Борисовичу Шереметеву. Представлен на Полдень",3.0
28563589,1,1.0,"Проспект Оранжереи в саду села Кускова, принадлежащем Его Сиятельству Графу Петру Борисовичу Шереметеву. Представлен на Полдень",2.0
31752255,1,2.0,"г. Санкт-Петербург. Летний дворец Елизаветы Петровны. 1741-1744 гг., снесен в 1797 г. «Проспект Летнего Ея Императорского Величества дому с северною сторону». Из издания «Планы столичного города Санкт-Петербурга...» (1753 г.). Л. 11. Архитектор: Растрелли Ф.Б., В.В.",1.0
36711819,1,2.0,Проспект летняго Ея Императорскаго Величества дому с северную сторону,1.0
39470775,1,2.0,"Вид Летнего дворца имп. Елизаветы с северной строны, на первом плане канал с лодками, набережная перед Дворцом и партерный сад с многочисленными фигурами, внизу герб Петербурга, русская и франц. надпись и подписи",3.0
39472551,1,2.0,Вид на летний дворец Елизаветы Петровны: на переднем плане - река Фонтанка и отходящий от нее канал с гребными судами,2.0
39472545,1,2.0,"Вид Адмиралтейства со стороны Невского проспекта: на переднем плане, в центре - проспект с посадкой деревьев по сторонам, слева и справа луг с пасущимся скотом и марширующим отрядом, на втором плане, слева - Адмиралтейство, окруженное земляным валом, справа - Зимний дворец",2.0
6558046,1,2.0,Санкт-Петербург. Проспект летнего её императорского величества дома с северной стороны. Коллекция И.С. Зильберштейна,4.0
8994362,1,2.0,«Проспект Летнего дворца Елизаветы Петровны».1753. По оригинальному рисунку М.И.Махаева.,2.0
11814611,1,2.0,Гравюра. Прогулка на Каменном острове в Санкт-Петербурге.,2.0
14170667,1,3.0,офорт. Оранжерея в Кускове,1.0
16017732,1,1.0,"Проспект Государственной коллегии с частью Гостинного двора в восточную сторону. Лист из альбома «План столичного города Санкт-Петербурга с изображением знатнейших оного проспектов, изданных трудами императорской Академии Наук и Художеств в Санкт Петербурге».",2.0
16667841,1,2.0,Летний дворец в Петербурге. С рисунка М.И. Махаева. Гравюра,1.0
31232840,2,2.0,"вид города. Вид города Екатеринбурга. Лист из атласа к изданию Н.Г. Леклерка ""История... древней и современной России"".",3.0
34675850,2,1.0,Вид города Владимира от Москвы с приезда к северо-западу. Лист из «Собрания российских и сибирский городов».,3.0
36071652,2,2.0,(Россия.) Вид Казани во время водополья реки Казанки к северо-западу представленный.,2.0
36071597,2,2.0,(Россия. Йошкар-Ола.) Вид города Кокшайска на Волге.,2.0
36071582,2,2.0,(Россия.) Вид города Владимира от Москвы с приезда к северо-западу.,2.0
36071554,2,2.0,(Россия. Йошкар-Ола.) Вид города Кокшайска на Волге.,2.0
36071564,2,0.0,(Россия. Йошкар-Ола.) Вид города Кокшайска на Волге.,2.0
36071553,2,2.0,(Россия. Йошкар-Ола.) Вид города Кокшайска на Волге.,2.0
36071736,2,2.0,(Россия. Ульяновск.) Вид города Симбирска с приезда к северо-западу.,2.0
36071735,2,2.0,(Россия.) Вид города Пензы на Суру реке к северо-востоку.,2.0
36071711,2,2.0,(Россия.) Вид города Пензы на Суру реке к северо-востоку.,2.0
36071708,2,2.0,(Россия.) Вид города Пензы на Суру реке к северо-востоку.,2.0
36071721,2,2.0,(Россия. Ульяновск.) Вид города Симбирска с приезда к северо-западу.,2.0
36071695,2,2.0,(Россия.) Вид города Сызрани с приезда к северо-востоку.,2.0
36071690,2,2.0,(Россия.) Вид города Пензы на Суру реке к северо-востоку.,2.0
36453706,2,2.0,"Гравюра ""Вид города  Пензы на Суру к северо-востоку""",1.0
39470854,2,2.0,"Вид застройки берега Каменного острова у дачи гр. Бестужевой-Рюминой, на переднем плане Малая Невка и лодки, слева - дерево, у него рыболов и охотник, внизу надпись",2.0
39470847,2,2.0,"Вид галереи и решетки в саду гр. Бестужевой-Рюминой на Каменном острове, ближе к зрителю выступающие к реке павильоны и беседки, за решеткой набережной слева другие павильоны, в глубине регулярный сад, на переднем плане лодка с гребцами и музыкантами",2.0
10111826,2,2.0,«Вид города Томска».1770. Из серии «Собрание Российских и Сибирских городов».,1.0
10692892,2,1.0,«Вид города Селенгинска».1770. Из серии «Собрание Российских и Сибирских городов».1769-1770.,2.0
15811002,2,3.0,«Вид Удинского острова».1770. Из серии «Собрание Российских и Сибирских городов»,2.0
34257031,3,2.0,Вид Триумфальных ворот из Земляного города к Тверской-Ямской. (Садово-Триумфальная площадь). 2-я серия. Лист 2-й. Придворный календарь на 1766 г.,2.0
34257030,3,2.0,Вид Воскресенских Триумфальных ворот от Куретного мосту. 2-я серия. Лист 4-й. Придворный календарь на 1766 г.,2.0
34257021,3,2.0,Кремль. Вид старого дворца с Красным крыльцом и Золотой решеткой (Боярская площадка). 1-я серия. Лист 3-й. Придворный календарь на 1765 г.,2.0
34257027,3,2.0,Вид Триумфальных ворот в Земляном городе (Красные ворота). 2-я серия. Лист 7-й. Придворный календарь на 1766 г. Переиздание,2.0
34257019,3,2.0,Вид Воскресенских Триумфальных ворот между библиотекой и Монетным двором. 2-я серия. Лист 5-й. Придворный календарь на 1766 г.,2.0
34257012,3,2.0,Кремль. Вид нового дворца с южной стороны. 1 серия. Лист 4-й. Придворный календарь на 1765 г. Гр. Н.Челнаков.,2.0
34257006,3,2.0,Кремль. Вид старого дворца с Красным крыльцом и Золотой решеткой (Боярская площадка). 1-я серия. Лист 3-й. Придворный календарь на 1765 г.,2.0
34257005,3,2.0,Кремль. Вид старого дворца с Красным крыльцом и Золотой решеткой (Боярская площадка). 1 серия. Лист 3-й. Придворный календарь на 1765 г. Гр. Н.Челнаков. Лист горизонтальный,2.0
34256997,3,2.0,Кремль. Вид Успенского собора и Грановитой палаты. 2-я серия. Лист 2-й. Придворный календарь на 1765 г.,2.0
34256996,3,2.0,Кремль. Вид Никольских Триумфальных ворот с частью Цейхгауза. 2-я серия. Лист 6-й. Придворный календарь на 1766 г.,2.0
34256995,3,2.0,Вид Триумфальных ворот из Земляного города к Тверской-Ямской. (Садово-Триумфальная площадь). 2-я серия. Лист 2-й. Придворный календарь на 1766 г.,2.0
34256993,3,2.0,Вид Триумфальных ворот в Земляном городе (Красные ворота). 2-я серия. Лист 7-й. Придворный календарь на 1766 г.,2.0
34256986,3,2.0,Кремль. Красное крыльцо и Грановитая палата. 1-я серия. Лист 4-й. Придворный календарь на 1765 г. Гр. И.Стрижев.,2.0
34256976,3,2.0,Кремль. Вид Успенского собора и Грановитой палаты. 1-я серия. Лист 2-й. Придворный календарь на 1765 г. Гр.Н.Саблин,2.0
34256962,3,2.0,Вид Воскресенских Триумфальных ворот между библиотекой и Монетным двором. 2-я серия. Лист 5-й. Придворный календарь на 1766 г.,2.0
34256971,3,2.0,Вид Триумфальных ворот в Земляном городе (Красные ворота). 2-я серия. Лист 7-й. Придворный календарь на 1766 г.,2.0
34256972,3,2.0,Кремль. Новый императорский дворец с галереями старого дворца. 1 серия. Лист 6-й. Придворный календарь на 1765 г.,2.0
34256961,3,2.0,Вид Триумфальных ворот на тверской улице в Белом городе (Страстная площадь). 2-я серия. Лист 3-й. Придворный календарь на 1766 г.,2.0
34256952,3,2.0,Кремль. Вид Никольских Триумфальных ворот с частью Цейхгауза. 2-я серия. Лист 6-й. Придворный календарь на 1766 г. Лист горизонтальный,2.0
34256950,3,2.0,Кремль. Красное крыльцо и Грановитая палата. 1-я серия. Лист 4-й. Придворный календарь на 1765 г.,2.0
34256947,3,2.0,Кремль. Вид нового дворца с южной стороны. 1-я серия. Лист 5-й. Придворный календарь на 1765 г.  Лист горизонтальный,2.0
34256948,3,2.0,Вид Триумфальных ворот на тверской улице в Белом городе (Страстная площадь). 2-я серия. Лист 3-й. Придворный календарь на 1766 г.,2.0
34256941,3,2.0,Кремль. Вид Успенского собора и Грановитой палаты. 1-я серия. Лист 2-й. Придворный календарь на 1765 г.  Лист горизонтальный,2.0
34256938,3,2.0,Кремль. Вид нового дворца с южной стороны. 1 серия. Лист 5-й. Придворный календарь на 1765 г.,2.0
34256936,3,2.0,Вид летнего Императорского дворца с южной и западной стороны. 1 серия. Лист 7-й. Придворный календарь на 1765 г. Гр. В.Саблин,2.0
36071645,3,2.0,(Россия. Москва.) Вид Успенского собора и Грановитой палаты с частью Ивана Великого. Лист № 2,2.0
36071612,3,2.0,(Россия. Москва.) Красное крыльцо и Грановитая палата. Лист № 4,2.0
36071590,3,2.0,(Россия. Москва.) Вид Нового дворца в Кремле с южной стороны. Лист № 5,2.0
26707603,4,1.0,Галерея в парке графине Бестужевой - Рюминой на Каменном острове.,2.0
39467589,4,2.0,Проспект охотничьего павильона в Зверинце Царского села,2.0
39470818,4,2.0,"Вид здания Эрмитажа в саду гр. Бестужевой-Рюминой на Каменном острове, на переднем плане пристань, по сторонам павильоны и шпалеры деревьев, смыкающихся за Эрмитажем",2.0
39472666,4,2.0,"Вид охотничьего павильона в Зверинце царского села: на переднем плане слева - группа животных, в центре гуляющие дамы и кавалеры",2.0
39472638,4,2.0,"Вид Эрмитажа в Царском селе: в центре окруженный фигурным рвом и баллюстрадой Эрмитаж, за ним боскенты и Екатерининский дворец",2.0
4444547,4,2.0,"Парковый павильон ""Монбижу""",1.0
6229938,4,2.0,Эрмитаж в Царском Селе. Гравюра,2.0
6229920,4,2.0,Охотничий павильон в Зверинце,2.0
16214787,4,2.0,Павильон Эрмитаж в Царском Селе,2.0
16214765,4,1.0,"Охотничий павильон ""Монбижу"" в Зверинце Царского Села",2.0
16215941,4,2.0,Вид Старого Зимнего дворца и Зимней канавки (обратное изображение),2.0
28869105,5,1.0,"Проспект вверх по Неве реке к востоку между Галерною верфью и 13 линией Васильевского острова. Проспект вниз по Неве реке от Невского моста между Исаакиевской церковью и кадетским корпусом. С рисунка и гравюры М.И.Махаева. Лист из альбома ""Историческая панорама С.-Петербурга"".Ч.I - ""От основания Петербурга до екатерининской эпохи"".",4.0
28869075,5,3.0,"Проспект в верх по Неве реке к востоку между галерною верфью и 13 линией Васильевского острова. Проспект в низ по Неве реке от Невского моста между Исаакиевской церковью и кадетским корпусом. С рисунка и гравюры М.И.Махаева. Лист 9 из альбома ""Историческая панорама Санкт-Петербурга и его окрестностей"". Часть I ""От основания Петербурга до екатерининской эпохи"".",4.0
17198374,5,3.0,"Негатив на стеклянном носителе. Проспект вниз по Неве реке, гравюра М.И. Махаева.",5.0
35257784,5,4.0,"Иллюстрация к статье В.Н. Всеволодского-Гернгросса «Театральные здания в Санкт-Петербурге в XVIII столетии», опубликованной в журнале «Старые годы», февраль-март, 1910 г.: «Головкинский дом (второе здание справа) на месте нынешней Академии Художеств (С гравюры Махаева)». Комедиантский дом пер. пол. XVIII в. г. Санкт-Петербург. Фрагмент гравюры М.И. Махаева «Проспект вниз по Неве реке от Невского моста между Исаакиевской церковью и корпусом кадетским» 1753 г. Гравер: Махаев М.И.",5.0
35259327,5,4.0,"Перспектива главного ансамбля. Ленинградская область, г. Ломоносов (Ораниенбаум). Рис. Махаев",4.0
21156590,5,4.0,"""Старинный Гостинный двор на Васильевском острове"", со старинной гравюры по рисунку М. Махаева, вырезка из печатного издания",4.0
10037028,5,5.0,"Фото-тинто-гравюра. Проспект вверх по Неве реке к востоку между Галерной верфью и 13 линией Васильевского острова. Проспект вниз по Неве реке от Невского моста между Исаакиевскою церковью и Кадетским корпусом. (С гравюр 1750-х годов по рисункам М. И. Махаева). Из комплекта ""Историческая панорама Санкт-Петербурга и его окрестностей"". Часть первая ""От основания Петербурга до Екатерининской эпохи"".",3.0
10037027,5,5.0,"Фото-тинто-гравюра. Проспект вниз по Неве реке между Зимним Е. И. В. домом и Академией наук. (С гравюры 1753 года Г. Качалова по рисунку М. И. Махаева). Из комплекта ""Историческая панорама Санкт-Петербурга и его окрестностей"". Часть первая ""От основания Петербурга до Екатерининской эпохи"".",3.0
16053815,5,5.0,Вид города Чебоксары,1.0
36921091,6,1.0,"«План столичного города Санкт-Петербурга с изображением знатнейших проспектов». Гравюра. Худ. М.И. Махаев, 1745-1753 гг. Фрагмент плана города",5.0
36921048,6,1.0,"«План столичного города Санкт-Петербурга с изображением знатнейших проспектов». Гравюра. Худ. М.И. Махаев, 1745-1753 гг. Фрагмент плана города",5.0
