regNumber,labels,class_predict,name,connectedness
36922813,0,5.0,Рисунок. Красные ворота. г. Москва. По рис. М. Махаева. Перспектива,5.0
39468046,1,2.0,Вид нового Императорского Зимнего дворца и Эрмитажа на берегу Невы,2.0
26708353,2,1.0,План Петербурга 1753 г.,1.0
28682407,3,2.0,Панорама Невы вниз по течению от старого Зимнего дворца и Академией наук.,2.0
26707582,4,2.0,Вид дачи графини Бестужевой - Рюминой на Каменном острове.,2.0
10694666,5,4.0,"Кружка сувенирная ""Подьячий с приписью""",4.0
10694677,6,4.0,"Кружка сувенирная ""Городовой воевода""",4.0
20408349,7,0.0,"Галстук мужской классический с надписями ""Симбирск-Ульяновск"". Изготовлен по заказу Городской Думы к 355-летию города. Принадлежал Зубову А.Н.",4.0
7411247,8,2.0,Доска медная гравированная,1.0
21088302,8,1.0,"Титульный лист с надписью: ""Подлинное представление Строениев и Саду, находящихся в одном из увеселительных домов называемом село Кускова, принадлежащее его сиятельству господину графу Петру Борисовичу Шереметьеву. Генерал-Аншефу Ее императорского Величества Всероссия. Обер-Камергеру, Сенатору и Кавалеру орденов С. Андрея, С. Александра, С. Анны и Белого орла и проч. Построенное в 7 верстах от Москвы на восток. Строения изобретены разными славными архитекторами иностранными, а многие и домовым Его Сиятельство русским архитектором же Федором Аргуновым. Все сии изображенные виды посредством перспективных правил на месте сняты и произведены Российскими художниками под смотрением Импер. Акад. наук Мастера Михаила Махаева"", заключенной в две полуокружности, окруженной растительным и цветочным орнаментом. Гравюра",2.0
21509375,8,1.0,"Тезис, посвященный вступлению Екатерины II на престол (с видом Сергиевой пустыни). Гравюра",2.0
28537990,8,1.0,"Титульный лист к альбому «Подлинное представление строений и саду, находящихся в одном из увеселительных домов, называемом село Кусково...»",1.0
28563605,8,1.0,"Заглавный лист к альбому гравюр ""Подлинное представление строениев и саду, находящееся в одном из увеселительных домов, называемом село Кускова, принадлежащее его Cиятельству Господину графу Петру Борисовичу Шереметеву""",2.0
28563584,8,1.0,"Заглавный лист к альбому гравюр ""Подлинное представление строениев и саду, находящееся в одном из увеселительных домов, называемом село Кускова, принадлежащее его Cиятельству Господину графу Петру Борисовичу Шереметеву""",3.0
30699077,8,1.0,"Вид Соловецкого монастыря (№7). Лист из атласа ""Виды Соловецкого монастыря"".",2.0
31017831,8,1.0,Гравюра. Вид Троице-Сергиевой пустыни близ Санкт-Петербурга с тезисом в честь Екатерины II.,1.0
31017754,8,1.0,Гравюра. Вид Троице-Сергиевой пустыни близ Санкт-Петербурга с тезисом в честь Екатерины II.,1.0
34677024,8,2.0,"Титульный лист из альбома ""Подлинное представление строениев и саду в одном из увеселительных домов называемом Кусково, принадлежащее его Cиятельству Господину графу Петру Борисовичу Шереметеву..."":",2.0
37735308,8,1.0,"Вид Соловецкого монастыря с преподобными Германом, Зосимой, Савватием и святым Филиппом-митрополитом, гравюра",1.0
14170673,8,1.0,офорт. Колонна в Кускове в честь Екатерины II,2.0
14170675,8,1.0,"офорт. Титульный лист ""Альбома села Кускова""",1.0
15683535,8,1.0,Гравюра. Вид Троице-Сергиевой пустыни близ Санкт-Петербурга с тезисом в честь Екатерины II,1.0
15683614,8,1.0,"гравюра. Видсой пустыни близ Санкт-Петербурга с тезисом, посвященным Екатерине II.",1.0
15683588,8,2.0,"гравюра. Вид Троице-Сергиевой пустыни близ Санкт-Петербурга с тезисом, посвященным Екатерине II.",1.0
15683370,8,2.0,.,1.0
16290965,8,2.0,Тезис Соловецкого монастыря,1.0
2550835,8,2.0,Соловецкий монастырь с житием преп. Зосимы и Савватия Соловецких. Гравюра,1.0
2550747,8,2.0,Соловецкий монастырь с житием преп. Зосимы и Савватия Соловецких. Гравюра,1.0
16960940,8,2.0,гравировальная доска «Тезис в честь Екатерины II Лаврентия Хоцятовского с видом Троице-Сергиевой пустыни».,1.0
15253253,9,4.0,"Открытка с репродукцией раскрашенной гравюры Г.А.Качалова по рисунку М.И.Махаева. Академия наук и Кунсткамера. Деталь панорамы ""Проспект вниз по Неве-реке между Зимним дворцом и Академией художеств"". 1753. Принадлежала И.А.Бродскому",4.0
