regNumber,labels,class_predict,name,connectedness
17333432,0,2.0,"Большой (Екатерининский) дворец. Дворцово-парковый ансамбль. 1717-24 гг., 1742 г., 1751-56 гг.; Дворцово-парковый ансамбль. Ленинградская обл., Царское Село.  Большой (Екатерининский) дворец. Из серии гравюр с видами загородных дворцов С.-Петербурга. Растрелли Франческо Бартоломео (Варфоломей Варфоломеевич); Браунштейн Иоганн Фридрих; Земцов Михаил Григорьевич; Квасов Андрей Васильевич. Фасад павильона Эрмитаж. Гравированы при Императорской Академии наук.",2.0
40633899,0,1.0,"Общий вид усадьбы Кусково с южной стороны, г. Москва. Вид с гравюры М.И. Махаева",5.0
26623870,0,2.0,Вид здания Эрмитажа в Царскосельском парке.,2.0
28537399,0,1.0,"г. Санкт-Петербург. Эрмитаж. Екатерининский парк. 1744-46, 1748-54 гг. «Эрмитаж в Саду Ея Императорского Величества дворца в Царском Селе». Вид со стороны подъемного моста. Архитектор: Земцов М.Г.; Архитектор: Квасов А.В.; Архитектор-строитель: Чевакинский С.И.; автор проекта перестройки: Растрелли Ф.Б., В.В. Гравировано при Императорской Академии Наук и Художеств, Санкт-Петербург.",1.0
33620201,0,2.0,"г. Санкт-Петербург, г. Пушкин (Царское Село). Эрмитаж. Екатерининский парк. 1744-46 гг., 1748-54 гг. «Эрмитаж в Саду Ея Императорского Величества дворца в Царском Селе». Общий вид. Архитектор: Земцов М.Г.; Архитектор: Квасов А.В.; Архитектор-строитель: Чевакинский С.И.; автор проекта перестройки: Растрелли Ф.Б., В.В. Гравировальная мастерская при Императорской Академии наук и художеств, Санкт-Петербург.",1.0
39467586,0,2.0,Проспект здания Эрмитажа в Царскосельском парке,2.0
39467581,0,2.0,Проспект Эрмитажа в Царскосельском парке,2.0
39468120,0,2.0,Вид Эрмитажа в Царском Селе,2.0
39468107,0,2.0,Проспект павильона Эрмитаж в Царском селе,1.0
39470840,0,2.0,"Вид амфитеатра - полукруглой галерии в саду гр. Бестужевой-Рюминой на Каменном острове, в центре арка с надписью на трех языках",2.0
39470830,0,2.0,Проспект здания Эрмитажа в Царскосельском парке.,2.0
39470818,0,2.0,"Вид здания Эрмитажа в саду гр. Бестужевой-Рюминой на Каменном острове, на переднем плане пристань, по сторонам павильоны и шпалеры деревьев, смыкающихся за Эрмитажем",2.0
39471141,0,2.0,"Вид Эрмитажа в Царском Селе - в центре 2х этажный павильон под куполом, богато украшенный резьбой и колоннами, окруженный балюстрадой и рвом",2.0
39472638,0,2.0,"Вид Эрмитажа в Царском селе: в центре окруженный фигурным рвом и баллюстрадой Эрмитаж, за ним боскенты и Екатерининский дворец",2.0
39473014,0,2.0,Вид Эрмитажа в Царском Селе,2.0
39473317,0,2.0,Изображение здания Эрмитажа в Царскосельском парке на фоне Екатерининского дворца,2.0
40088908,0,2.0,Павильон Эрмитаж в Царском Селе.,2.0
5632021,0,2.0,Эрмитаж в саду Ее Императорского Величества дворца в Царском селе,3.0
4684706,0,2.0,Эрмитаж в Царском Селе,2.0
6229980,0,2.0,Эрмитаж в Царском Селе. Гравюра,1.0
6229938,0,2.0,Эрмитаж в Царском Селе. Гравюра,2.0
10336917,0,2.0,Эрмитаж в Царском селе. По рисунку М.И. Махаева,2.0
16214575,0,1.0,Павильон Эрмитаж в Царском Селе,2.0
16214841,0,2.0,Павильон Эрмитаж в Царском Селе,2.0
16214787,0,2.0,Павильон Эрмитаж в Царском Селе,2.0
17642632,0,5.0,Эрмитаж в Царском селе (с рисунка М.Махаева),2.0
15790623,1,0.0,"Фотография. Аралов и Махаева, актеры Ульяновского драматического театра. Сцена из пьесы «На всякого мудреца довольно простоты».",0.0
19782973,1,0.0,"Сцена. Поклоны. Степанченко С.Ю., Щукина Н.Ю., Певцов Д.А. и Захаров М.А. ""Безумный день, или Женитьба Фигаро"" (Постановка Захаров М.А., режиссер Махаев Ю.А., художник Шейнцис О.А., костюмы Комолова В.А.). Москва. Государственный театр ""Ленком""",0.0
23997892,1,0.0,"Фотография. Махаев И.И. в роли Принца. Сценическая практика в Пермском хореографическом училище. ""Щелкунчик""",0.0
24362461,1,0.0,"Фотография. Мишурина Н. и Махаев И.И. в ролях. Отчетно-выпускной концерт Государственного пермского хореографического училища. ""Утешение""",0.0
27613017,1,0.0,"Фотография. Махаев И.И. в роли Феба. Сцена. ""Эсмеральда"". Молотов, Хореографическое училище",0.0
27612993,1,0.0,"Фотография [Кондратьева Н.И.] и Махаев И.И. на экзамене. ""Жар-птица"". Пермь, Хореографическое училище",0.0
27612978,1,0.0,"Фотография. Савельева Л.М. и Махаев И.И. в пробе к к/ф ""Война и мир""",0.0
