regNumber,labels,class_predict,name,connectedness
27612942,0,0.0,Фотография. Махаев И.И. позирует в окрестностях Нарвского замка,0.0
26623908,1,3.0,Здание Двенадцати коллегий на Васильевском острове.,2.0
26623930,1,2.0,Вид Невской перспективы у Аничкова дворца.,2.0
40088936,1,2.0,Старый Зимний дворец.,3.0
40088955,1,2.0,Перспектива Невского проспекта от реки Мойки к реке Фонтанке.,3.0
23849798,1,2.0,Открытка «Вид реки Фонтанки от Грота и Запасного дворца. 1753 ». Из набора открыток «Старый Эрмитаж»,4.0
21595736,1,2.0,"Репродукция с гравюры Махаева М.И. Панорама Невы с видом на палаты графа Апраксина, на Адмиралтейство и Васильевский остров. 1730 - 1740-х годов.",4.0
26623794,1,2.0,Панорама Невы вниз по течению от Исаакиевской церкви и Кадетского корпуса.,2.0
26623921,1,2.0,Вид здания Государственных коллегий со стороны Невы.,2.0
26623750,1,2.0,Панорама Невы от Адмиралтейства и Академии Наук вверх по течению.,2.0
26623909,1,2.0,Вид Старого Зимнего дворца со стороны Невы.,2.0
26707603,1,2.0,Галерея в парке графине Бестужевой - Рюминой на Каменном острове.,2.0
26624027,1,2.0,Панорама Невы вверх по течению от Галерной верфи и 13-й линии Васильевского острова.,2.0
26707638,1,2.0,"Вид павильона для народных гуляний на Каменном острове, принадлежащем графине Бестужевой - Рюминой.",2.0
26707582,1,2.0,Вид дачи графини Бестужевой - Рюминой на Каменном острове.,2.0
28682407,1,2.0,Панорама Невы вниз по течению от старого Зимнего дворца и Академией наук.,2.0
28682387,1,2.0,Дворец Бестужевых-Рюминых на Каменном острове со стороны Малой Невки.,2.0
28682353,1,2.0,Дворец Бестужевых-Рюминых на Каменном острове со стороны Малой Невки.,2.0
28682341,1,2.0,Большой Петергофский дворец со стороны Нижнего парка.,2.0
28868538,1,2.0,Проспект вверх по Неве от Адмиралтейства и Академии наук.,2.0
28868464,1,2.0,Проспект вниз по Неве-реке от Невского моста между Исаакиевской церковью и Кадетским корпусом.,2.0
31090051,1,2.0,(Россия.) Красные Триумфальные ворота в Москве. Табл. 16,2.0
33611063,1,2.0,"Академия наук и художеств, библиотека и Кунсткамера, здание Двенадцати коллегий, Исаакиевский мост, Зимний дворец, Адмиралтейство, Исаакиевский собор («Проспект вниз по Неве реке между Зимним Ея Императорского Величества домом и Академией наук»). Из альбома с планом и видами г. Санкт-Петербурга по рисункам М.И. Махаева.",2.0
33611100,1,2.0,"Театр фейерверков и иллюминаций. Петропавловская крепость, главы церкви Живоначальной Троицы в Петербургской части, третий и четвертый Зимний дворец («Проспект вверх по Неве реке от Адмиралтейства и Академии наук к востоку»). Из альбома с планом и видами г. Санкт-Петербурга по рисункам М.И. Махаева.",2.0
38720672,1,2.0,"Большой дворец. Дворцово-парковый ансамбль. 1716-1721 гг.,1745-1755 гг., г. Санкт-Петербург (Ленинград), г. Петергоф (Петродворец), Вид дворца со стороны Нижнего парка. автор первоначального проекта: Браунштейн И.; автор первоначального проекта: Леблон Ж.Б.; автор проекта перестройки: Растрелли Ф.Б., В.В.",2.0
39470854,1,2.0,"Вид застройки берега Каменного острова у дачи гр. Бестужевой-Рюминой, на переднем плане Малая Невка и лодки, слева - дерево, у него рыболов и охотник, внизу надпись",2.0
39470772,1,2.0,Проспект Адмиралтейства и около лежащих строений с частью Невской Перспективной дороги,3.0
16214859,1,3.0,Большой Царскоселький дворец со стороны парадного двора,2.0
16214838,1,2.0,Вид здания Двенадцати коллегий со стороны Невы,2.0
16214802,1,4.0,Павильоны на даче Бестужевых-Рюминых на Каменном острове,2.0
16214800,1,3.0,Адмиралтейство со стороны Адмиралтейского луга,2.0
29295503,2,4.0,"Текстильный рисунок для ткани. Из альбома ""Творческие работы учащихся""/ МЛП СССР Ивановский химико-технологический техникум. Художественно-колористическое отделение. ",2.0
24002870,3,0.0,"Фотография. Кондратьева Н.И. в роли Птицы, Махаев И.И. в роли Охотника. Сценическая практика в Пермском хореографическом училище. ""Охотник и птица""",0.0
23997925,3,0.0,"Фотография. Кондратьева Н.И. в роли Маши, Махаев И.И. в роли Принца. Сценическая практика в Пермском хореографическом училище. ""Щелкунчик""",0.0
23997892,3,0.0,"Фотография. Махаев И.И. в роли Принца. Сценическая практика в Пермском хореографическом училище. ""Щелкунчик""",0.0
23997906,3,0.0,"Фотография. Кондратьева Н.И. в роли Птицы, Махаев И.И. в роли Охотника. Сценическая практика в Пермском хореографическом училище. ""Охотник и птица""",0.0
