regNumber,title,img,labels
17573457,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/17573457_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x137 at 0x7F7D1F42F9D0>,-1
26623908,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/26623908_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x171 at 0x7F7D1EB95480>,-1
26623930,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/26623930_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x171 at 0x7F7D1EBE4190>,0
14574406,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/14574406_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x152 at 0x7F7D1EBE40D0>,-1
40088936,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/40088936_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x190 at 0x7F7D1F42CC10>,0
40088955,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/40088955_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x168 at 0x7F7D1EB94D30>,-1
10694666,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/10694666_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x299 at 0x7F7D1EBE46A0>,1
10694677,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/10694677_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x299 at 0x7F7D1EBE4550>,1
20408349,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/20408349_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x213 at 0x7F7D1EBE4760>,-1
7411247,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/7411247_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=171x256 at 0x7F7D1EBE4F40>,2
15253253,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/15253253_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x170 at 0x7F7D1EBE5030>,-1
11250941,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/11250941_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=900x574 at 0x7F7D1EBE4C10>,-1
11250969,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/11250969_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=900x568 at 0x7F7D1EBE4E20>,3
17152188,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152188_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=800x597 at 0x7F7D1EBE4FD0>,4
11250884,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/11250884_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=900x569 at 0x7F7D1EBE5060>,5
17123680,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17123680_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x183 at 0x7F7D1EBE4EE0>,-1
17152601,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152601_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=452x600 at 0x7F7D1EBE51B0>,6
17152583,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_printed_matter/17152583_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=760x600 at 0x7F7D1EBE4F70>,7
