regNumber,title,img,labels
17573457,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/17573457_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x137 at 0x7F7D1F42F9D0>,57
3613323,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/3613323_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x211 at 0x7F7D1EB94E20>,47
26623908,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/26623908_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x171 at 0x7F7D1EB95480>,2
26623930,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/26623930_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x171 at 0x7F7D1EBE4190>,60
14574406,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/14574406_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x152 at 0x7F7D1EBE40D0>,51
40088936,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/40088936_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x190 at 0x7F7D1F42CC10>,60
40088955,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/40088955_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x168 at 0x7F7D1EB94D30>,51
9696309,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/9696309_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=192x256 at 0x7F7D1EBE45B0>,47
9858879,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/9858879_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=600x800 at 0x7F7D1EBE44F0>,47
3640287,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/3640287_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x164 at 0x7F7D1EBE43D0>,51
9696756,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_paintings/9696756_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=600x800 at 0x7F7D1EBE4460>,47
10694666,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/10694666_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x299 at 0x7F7D1EBE46A0>,47
27427021,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/27427021_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x224 at 0x7F7D1EBE4490>,15
10694677,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/10694677_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=448x299 at 0x7F7D1EBE4550>,47
27427016,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/27427016_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x143 at 0x7F7D1EBE47F0>,15
27427023,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/27427023_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x224 at 0x7F7D1F4E7DC0>,15
20408349,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/20408349_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x213 at 0x7F7D1EBE4760>,15
12104335,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/12104335_1.jpg,<PIL.MpoImagePlugin.MpoImageFile image mode=RGB size=256x144 at 0x7F7D1F4E75E0>,41
12104311,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/12104311_1.jpg,<PIL.MpoImagePlugin.MpoImageFile image mode=RGB size=166x256 at 0x7F7D1EBE4CD0>,47
27427011,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/27427011_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x125 at 0x7F7D1EBE4C70>,15
27427015,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/27427015_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x143 at 0x7F7D1EBE4D00>,15
27427008,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/27427008_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x224 at 0x7F7D1EBE4D30>,15
27426972,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/27426972_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x224 at 0x7F7D1EBE4D60>,15
27426981,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/27426981_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x224 at 0x7F7D1EBE4B80>,15
7411247,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/7411247_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=171x256 at 0x7F7D1EBE4F40>,31
27426961,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/27426961_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x224 at 0x7F7D1EBE4EB0>,15
40393936,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/40393936_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x185 at 0x7F7D1EBE5000>,20
9371172,/content/drive/MyDrive/Work/Пандан/Музеограф/images_all_final_flattened_26_5_23/images_ethnography/9371172_1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=256x146 at 0x7F7D1EBE4FA0>,47
