id,Name,regNumber
5c3e1a1e93fa687ca4aeef9a,«Вид города Томска».1770. Из серии «Собрание Российских и Сибирских городов».,10111826
5c3e096b93fa687ca4bd1cca,Гравюра. Охотничий павильон в Зверинце в Царском Селе.,11627121
5c3e0a1393fa687ca4c62ddb,"Гравюра. Проспект вверх по Неве реке к востоку между Галерною Верфью и 13 ой Линией Васильевского Острова».


",11902858
5c3e0a1393fa687ca4c62de9,"Гравюра. Проспект старого Зимнего дворца, с каналом, соединяющим Мойку с Невой.",11902855
5c3e0a1393fa687ca4c62df0,"Гравюра. Проспект Адмиралтейства и около лежащих строений с частью Невской проспектной дороги в западную сторону.
",11902854
5c3e0a1393fa687ca4c62dfd,"Гравюра на меди. Проспект вниз по реке Неве от Невского моста между Исаакиевской церковью и кадетским корпусом (гравюра на 2 листах)
",11902852
5c3e0a1393fa687ca4c62e29,"Эстампы. Проспект Биржи и Гостинного Дворца вверх по Малой Неве реке.
Из альбома «План столичного города Санктпетербурга с изображением знатнейших онаго проспектов, изданных трудами Императорской Академии наук и художеств в Санктпетербурге». СПб., 1753.

",11902844
5c3e0a1393fa687ca4c62e2f,"Гравюра на меди. Проспект вниз по Неве реке между Зимним её императорского  величества домом и Академией Наук.
",11902843
5c3e0a1393fa687ca4c62e37,"Гравюра. Проспект вверх по Неве реке от Адмиралтейства и Академии Наук к востоку.
",11902842
63000d9781ee893a171241f5,офорт. Зверинец в Кусково,14170697
63000d9781ee893a171241fa,офорт. Грот в Кускове,14170689
63000d9781ee893a17124205,"офорт. Титульный лист ""Альбома села Кускова""",14170675
63000da83ced893a16bb2b74,офорт. Оранжерея в Кускове,14170667
63000da83ced893a16bb2b7b,офорт. Генеральный план села Кускова,14170660
5c95515f93fa687ca46adbff,.,15683370
5c95516093fa687ca46ade79,Гравюра. Вид Троице-Сергиевой пустыни близ Санкт-Петербурга с тезисом в честь Екатерины II,15683535
5c95516093fa687ca46adff5,Гравюра. Географическое описание на Библию Священного Писания,15683459
5c95516093fa687ca46ae07c,"гравюра. Видсой пустыни близ Санкт-Петербурга с тезисом, посвященным Екатерине II.",15683614
5c95516093fa687ca46ae0ec,"гравюра. Вид Троице-Сергиевой пустыни близ Санкт-Петербурга с тезисом, посвященным Екатерине II.",15683596
