id,name,author,regNumber,invNumber,gikNumber,type,statusId,nativeId,date_created,typology,description,technologies,image,connectedness
5c3e0d8893fa687ca4f7f2cc,"Эскиз декорации. Сцена с фигурой. ""В списках не значился"" (По повести Б.Л. Васильева. Премьера: 09.05.1975 г. Реж.-пост.: Захаров М.А. Реж.: Махаев Ю.А. Комп.: Николаев А.А. Дир.: Кремер А.Л.). Москва, Московский государственный театр ""Ленком""","Макушенко Владимир Александрович ,Твардовская Ольга Александровна",3613323,Ж 1308,КП 323343,0,6,1186967,Пост. 1975 г.,живопись,"В чёрной раме на чёрном фоне в центре серые пятна, как облака, над ними серо-белая лента-арка с рисунками белым, чёрным, красным, охристым мелками, как рисуют на асфальте дети: человечки, собачка, домик, цветочки, самолётики и машинка, солнце с лучами, высотка, красные звёзды, также и надписи ""детским"" почерком: ""КОЛЯ"" слева, ""ВЕРКА"" справа. На сцену, как горы, наброшено огромное покрывало серых тонов, с круглыми дырами по краям, на свободном месте впереди разбросаны пастозные предметы - вроде форменная одежда, на тряпке справа видна красная звезда, слева ещё винтовка. И на фоне покрывала по центру наклеена под краской чёрная ткань, поверх неё изображена фигура женщины в белом, с платком в руках; кожа её белая.","Фанера, темпера, мелки, ткань, аппликация.",http://goskatalog.ru/muzfo-imaginator/rest/images/original/318495,0.0
5c3e0ff893fa687ca41a64ad,Екатерининский дворец,Махаев Н. М.,3640287,ЕД-865-X,ЦС КП-19894,0,6,475975,1827,живопись,"Изображен Екатерининский дворец со стороны северных ворот, на переднем плане запряженная карета;","масло, холст",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43588168,0.0
5c3e190393fa687ca49e7935,Портрет. И. И. Махаев в роли. Неустановленный спектакль,[Ларин Юрий Николаевич],9696309,Ж 1548,ГЦТМ КП 331864,0,6,9817591,1985 г. 1985,живопись,"Изображен в повороте корпусом вправо молодой темноволосый мужчина в театральном костюме. Одет в черный камзол, видна белая рубашка и серый шарф на талии, на правое плечо наброшен черный плащ. Левая рука на талии, корпус наклонен вперед.","холст, масло",http://goskatalog.ru/muzfo-imaginator/rest/images/original/6588333,0.0
5c3e190493fa687ca49e7fb8,Портрет. Махаев И. И.,Гусев Владимир Сергеевич,9696756,Ж 1549,ГЦТМ КП 331865,0,6,9817991,1980-е гг. 1980-1989,живопись,"На фоне стены изображен поколенно корпусом в фас мужчина средних лет. Седые волосы, зачесанные назад, одет в белую рубашку и черный пиджак с красной вставкой, руки скрещены на груди, голова повернута вправо и чуть запрокинута. На стене висят гравюры и фотографии в рамках.","Холст, масло",http://goskatalog.ru/muzfo-imaginator/rest/images/original/6588759,0.0
5c3e196393fa687ca4a40b12,Портрет. И. И. Махаев,Лукьянов Виктор Евгеньевич,9858879,,ГЦТМ КП 332002,0,6,9976566,2008 г. 2008,живопись,"На сиреневом фоне изображен корпусом в профиль влево пожилой мужчина. Седые волосы, зачесанные назад, круглое лицо, голубые глаза, прямо нос, губы поджаты. Одет в голубую рубашку. Голова повернута на зрителя.","холст, масло",http://goskatalog.ru/muzfo-imaginator/rest/images/original/6826086,0.0
5c3e1ae593fa687ca4b994a1,"Эскиз мужских костюмов. Жители Антоновки. Финал (сиреневый танец). ""Поминальная молитва"" (Пост. 1992 г. Реж.-пост.: Захаров М.А. Реж.: Махаев Ю.А. Сценогр: Шейнцис О.А.). Израиль, Тель-Авив. Камерный театр",Комолова Валентина Александровна,10388211,ГКС 3458,ГЦТМ КП 323956,0,6,10498398,1991 г. 1991,графика,,"Бумага коричневая на бумаге, графитный карандаш, черная шариковая ручка, белила, масляная пастель.",http://goskatalog.ru/muzfo-imaginator/rest/images/original/7631326,0.0
5c3e1ae593fa687ca4b994a7,"Эскиз женских костюмов. Русские бабы. Финал. ""Поминальная молитва"" (Пост. 1992 г. Реж.-пост.: Захаров М.А. Реж.: Махаев Ю.А. Сценогр: Шейнцис О.А.). Израиль, Тель-Авив. Камерный театр",Комолова Валентина Александровна,10388210,ГКС 3456,ГЦТМ КП 323954,0,6,10498400,1991 г. 1991,графика,,"Бумага коричневая на бумаге, графитный карандаш, черная шариковая ручка, белила.",http://goskatalog.ru/muzfo-imaginator/rest/images/original/7631327,0.0
5c3e1ae593fa687ca4b99619,"Эскиз костюма. Дикля. ""Поминальная молитва"" (Пост. 1992 г. Реж.-пост.: Захаров М.А. Реж.: Махаев Ю.А. Сценогр: Шейнцис О.А.). Израиль, Тель-Авив. Камерный театр",Комолова Валентина Александровна,10388183,ГКС 3457,ГЦТМ КП 323955,0,6,10498452,1991 г. 1991,графика,,"Бумага коричневая на бумаге, графитный карандаш, черная шариковая ручка, белила.",http://goskatalog.ru/muzfo-imaginator/rest/images/original/7631352,0.0
5c3e1b1693fa687ca4bc484c,Симбирск (ХVIII в.),Артемьев Прокопий Артемьевич (1733/34-1811) с ориг. Свечина А.И. и Махаева М.И.(1717-1770),10447495,Гр-1918,ВМП КП-27748,0,6,10559536,1770 г.,графика,"На переднем плане - лошадь, коровы, слева (под деревом) человеческие фигуры, справа - воз сена, через поле в город идет дорога. справа - городская стена.","грав. резц, бум",http://goskatalog.ru/muzfo-imaginator/rest/images/original/7711978,0.0
5c3e1b1693fa687ca4bc4898,Пенза (ХVIII в.),Балабин Патрикей Тимофеевич (1734/35-1788) с ор. Свечина А.И. поправ. УсачевымВ.А. и Махаевым М.И.,10447464,Гр-1920,ВМП КП-27750,0,6,10559569,1769 г.,графика,"На переднем плане - лес. Дорога в город идет через мост, левее - река с лодками на ней, на берегу на холме - город с множеством куполов.","бум, грав. резц",http://goskatalog.ru/muzfo-imaginator/rest/images/original/7712012,0.0
