name,regNumber
Вид Удинского острога,15811002
Вид Бронницкой горы близ Новгорода,24220418
Вид Томска,10111826
Вид Чебоксары,16053815
Вид Якутска,25141913
Вид Иркутска,25141900
Вид Свияжска,29040920
Вид Илимска,31548386
Вид Енисейска,31548379
Вид Тобольска,31548340
Вид Красноярска,31548323
Вид Пелыма,31548320
Вид Невьянского завода,31548316
Вид Сызрани ,31747847
Вид города Пензы ,31752485
Царство Казанское с провинциями ,34737664
Вид Селенгинска,10692892
Вид Казани в водополье,36935470
Вид Владимира,12415893
Вид Кузнецка,15811003
Вид Новгорода,11504034
Вид Симбирска,31747791
Вид Саранска,10447455
Вид Чебоксары на р. Волгу к северу.,31752573
Вид Астрахани,10692895
Проспект вверх по Неве между Галерною Верфью и 13 ой Линией Васильевского Острова,33808663
"Проспект старого Зимнего дворца, с каналом, соединяющим Мойку с Невой.",33808655
Вид застройки берега Каменного острова у дачи гр. Бестужевой-Рюминой (левая половина),39470813
Вид застройки берега Каменного острова у дачи гр. Бестужевой-Рюминой (правая половина),39470747
Общий вид усадьбы Бестужевых-Рюминых на Каменном острове с Малой Невки,28537352
Проспект вниз по реке Неве от Невского моста между Исаакиевской церковью и кадетским корпусом,33808672
Проспект вниз по Неве реке между Зимним домом и Академией Наук,33808688
Проспект вверх по Неве реке от Адмиралтейства и Академии Наук к востоку.,33808673
Проспект Государственных коллегий,38458171
Усадьба А. П. Бестужева-Рюмина на Каменном острове. ,28537397
Павильон Эрмитаж в саду Бестужевых-Рюминых на Каменном острове,16214792
Летний дворец Елизаветы Петровны с угла Мойки и Фонтанки,33808656
Грот. Летний сад по реке Фонтанке,31752258
Главное Адмиралтейство,31747558
Проспект Биржи и Гостиного двора,26861108
Проспект палат против Аничковских ворот и Невской перспективой дороги от реки Фонтанки,8474623
Вид дачи Вольфа ,39468094
Проспект Невской Перспективой дороги от Адмиралтейских триумфальных ворот к востоку.,33808678
Старый Зимний дом,34251283
Новый зимний дом с Невы,34251283
Домик Петра,16124001
Летний дворец в Петербурге,21156594
Вид Летнего сада на углу Фонтанки и Мойки ,39468139
Вид на Неву и Петропавловскую крепость,21156592
План Петербурга 1753,16215048
Зверинец в Кусково,14170697
Грот в Кускове,14170689
Альбом села Кускова,14170675
Оранжерея в Кускове,14170667
Усадьба Кусково,31600951
Церковь Спаса Всемилостивого. Кусково,28538017
Эрмитаж. Кусково,28538009
Голландский домик. Кусково,28537992
Проспект Итальянского домика в Кускове,18358898
Проспект особливой круглой беседки на канале в конце кусковского сада,14170672
Перспективный вид сверху. Кусково,14170660
Генплан. Кусково,28538018
Вид Троице-Сергиевой пустыни с тезисом в честь Екатерины II,31017754
Дворец в Царском селе,28682357
Эрмитаж. Екатерининский парк,8994363
Охотничий павильон Монбижу в Зверинце. Екатерининский парк. Царскок село. ,33620210
Ораниенбаум. Вид дворца на берегу Финского залива напротив Кронштадта.,36495112
Вид дворца в Ораниенбауме со стороны Финского залива,39468028
Большой дворец. Петергоф,38691429
Вид дворца в  Петергофе. Фонтаны,39468102
Вид Екатерининского дворца в Царском селе,39468110
Географическое описание на Библию Священного Писания,15683459
Тезис Соловецкого монастыря,16290965
Соловецкий монастырь с житием преп. Зосимы и Савватия Соловецких. Гравюра,2550835
Вид Кремля из-за Замоскворечья,9463423
Карта Москвы и ее окрестностей. На нижнем поле - вид Кремля из Замоскворечья (у Каменного моста),16706997
Вид Кремля в Москве с Каменного моста через Москву-реку,9463431
Воскресенские ворота. Китайгородская стена,39473327
Соборная площадь,31085826
Вид Никольских триумфальных ворот с частью Цейхгауза,36071596
Триумфальная арка Екатерины II. Триумфальная площадь,4084930
Теремной дворец,31085787
Вид Триумфальных ворот на Тверской улице в Белом городе,39468043
Московская губерния с лежащими вкруг местами,34737650
Вид Нового дворца в Кремле с южной стороны.,36071595
Вид Триумфальных ворот в Земляном городе,39473364
Вид Московского Летнего дворца с южной и западной стороны,34251382
Кремль. Красное крыльцо и Грановитая палата,34256975
Вид Кремля из Замоскворечья между Каменным и Живым мостом к полудню.,24221147
Вид Красной площади у Никольских ворот Кремля,18061094
Новый императорский дворец с галереями старого дворца.,36071637
Портрет Сергея Леонтьевича Бухвостова,40670421
Портрет Сергея Леонтьевича Бухвостова в старости,24999605
Прием Екатериной II турецкого посольства в Зимнем Дворце,16033941
Изображение церемониального обеда в Грановитой палате,22290569
Ожерелье,19190075
Изображение причащения Екатерины II в алтаре Успенского собора.,22290542
