id,name,author,regNumber,invNumber,gikNumber,type,statusId,nativeId,description,technologies,,,image,connectedness,plot
608f1729172e287c2d0f3271,План Петербурга 1753 г.,"И. Трускот, И. Соколов, М. Махаев.",28868848,ГМИ СПб Инв.№-I-А-58/9 к,ГМИ СПб 172356/9,0,6,29032809,,бумага.  гравюра,,,http://goskatalog.ru/muzfo-imaginator/rest/images/original/33404389,1.0,План Петербурга 1753
62c207343bacb4653d14de46,Петергоф. Петергоф. Большой дворец.,"Нике Клод , Махаев Михаил Иванович , Леспинас/Lespinasse Луи-Никола де/Louis-Nicolas de",36495048,Э-12687,ГМП КП-12315,0,6,36713875,"Вид от фонтана Самсон на Большой Каскад, Большой грот с фонтаном ""Кольцо"", террасы, Большой дворец, Французский и Итальянский фонтаны. 
Под изображением: PETERHOFF / Maison de plaisance de Sa Majeste Imperiale de toutes les Russie etc etc etc / Situee sur le Golfe de Finlande a 30 Verstes de S-t Petersbourg. 
Под изображением по углам: Dessine par M-r le Ch-er De Lespinasse -  Dirige par Nee, Grave par Niquet.
","офорт, бумага, резец",,,http://goskatalog.ru/muzfo-imaginator/rest/images/original/44016918,3.0,Большой дворец. Петергоф
6407acab0e567613411c9436,"Вид устья реки Фонтанки от Грота и Запасного дворца. 1753 г. Из альбома «Русская гравюра конца XVII - XVIII вв.» Л. 11. С рисунка М.И. Махаева, выполненного под наблюдением Д. Валериани в 1749 г. Альбом «Русская гравюра конца XVII - XVIII века». Лист графический","Качалов Григорий Аникеевич (Гравер)  , Флекель Михаил Ильич (Составитель)",41222311,Г-3082,ТОКМ ОФ-44332/11,0,6,41444921,"Горизонтальная композиция. На переднем плане, в центре, на Неве изображены лодки и малые парусные суда, несколько кораблей стоят слева у берега. Справа и слева вдоль берега реки изображены здания. В глубине виден каменный мост через реку. Под изображением слева надпись: «Подсмотр. Г. Валерiани, Снималъ Подмастерье Михайла Махаевъ»; справа - «Гридоровалъ Мастеръ Григорей Качаловъ».","бумага, типографская печать",,,"http://goskatalog.ru/muzfo-imaginator/rest/images/original/50640604 ,http://goskatalog.ru/muzfo-imaginator/rest/images/original/50640605 ,http://goskatalog.ru/muzfo-imaginator/rest/images/original/50640606",2.0,Грот. Летний сад по реке Фонтанке
637d3ff1584941407ffc683c,"Вид Невской перспективы от Фонтанки к Адмиралтейству, на переднем плане Фонтанка и деревянный мост, налево Аничков дворец, направо мощеная дорога с едущими каретами, за ней застройка города","Автор рисунка: Махаев, Михаил Иванович ,Гравер: Васильев, Яков Васильевич",39473044,ЭРГ-29263,ГИКГЭ-345440,0,6,39693950,,гравюра раскраш,,,http://goskatalog.ru/muzfo-imaginator/rest/images/original/48166702,2.0,Проспект палат против Аничковских ворот и Невской перспективой дороги от реки Фонтанки
6227c7b2cff1801b8a9b1254,Вид Кремля из-за Замоскворечья. 2-я серия. Лист 1-й. Придворный календарь на 1766 г.,"Неизвестный гравер
Махаев М. М. (Автор рисунка)",34257000,Л 947,ГИМ 53408/2834,0,6,34456441,,"бумага, гравюра",,,http://goskatalog.ru/muzfo-imaginator/rest/images/original/40909354,2.0,Вид Кремля из-за Замоскворечья
637d3ff2584941407ffc69d7,"""Вид Триумфальных ворот в Земляном городе"", в Москве, на переднем плане многочисленные фигурки людей, по сторонам дороги шесть декоративных пирамид","Автор рисунка: Махаев, Михаил Иванович ,Гравер: Челнаков, Никита Фёдорович",39473364,ЭРГ-21197,ГИКГЭ-340445,0,6,39694428,,гравюра резцом и офортом,,,http://goskatalog.ru/muzfo-imaginator/rest/images/original/48167441,2.0,Вид Триумфальных ворот в Земляном городе
62704c059d36b806950be4a7,Кремль. Москва. Вид Кремля из Замоскворечья.,"Неизвестный гравер , Махаев Михаил Иванович",35003272,Э-5696,ГМП КП-5422,0,6,35208706,"На первом плане Софийская набережная, спуск к реке, деревянный парапет. Река Москва, на другом берегу - необустроенная Москворецкая набережная, застройка деревянными домами вдоль Кремлевской стены (южной). Слева направо Кремлевские башни: Водовзводная, Благовещенская (за нею верх церкви Благовещения Пресвятой Богородицы на Житном дворе (1731, разобрана в 1932), Тайницкая с отводной стрельницей, 1-я и 2-я Безымянные, Петровская (рядом видна церковь св.Константина и Елены - каменная, построена в 1651, перестройка в 1692, восстановлена в 1837, разрушена в 1928).
За стеной слева направо: Запасной дворец Бориса Годунова (1601, разобран в 1770), Нижний набережный сад с башней (1681-1830-е гг). Второй план слева направо: фрагмент западной Кремлевской стены с Боровицкой башней (1490-1495), от Боровицкой башни виден уцелевший фрагмент Алевизовой стены (построена для ограждения хозяйственной части Царского двора). За стеной - церковь Рождества Иоанна Предтечи (каменная, построена в 1461 г., разобрана в 1847), правее Иконный терем (Старый денежный двор, разобран в конце 1760-х гг.), правее Зимний дворец имп. Елизаветы Петровны (1753, арх. Растрелли В.В., переделки Н.А.Львова в 1797, В.П.Стасова в 1817, разобран в 1838). Правее Благовещенский собор (1484-1489, псковские мастера), с которым сливаются верхи Успенского собора (1475-1479, арх. А.Фиорованти и русские мастера). Правее здание Приказов (1670-е гг., существовало до 1770) - на гравюре они протянулись до Константино-Еленинской башни (1490), между их корпусами - церкви св. Александра Невского и Черниговских чудотворцев (1663, существовали до 1770). За зданием Приказов виден ансамбль колокольни Ивана Великого (1505-1508, ит. арх. Б.Фрязин, надстроена в 1600). Чуть левее башни и ближе к Приказам - Архангельский собор (1505-1508, арх. Алевиз Новый). Справа за последним корпусом Приказов - Спасская башня (1491, ит. зодчий П.А.Солари).
В левой половине изображены узнаваемые здания (слева направо): верх Потешного дворца (1651, с позднейшими пристройками), Троицкая башня (1495-1499), далее, вероятно, ц. Рождества Пресвятой Богородицы (1514, ит. арх. А.Фрязин), верх Теремов (1635-1636, зодчие Б.Огурцов, А.Константинов и др.) и верхи Теремных церквей (XVII в.)
Изображение в линейной рисованной рамке.
Слева под изображением в рамке: С.М.Махаевъ
Под рамкой: ""Видъ Кремля изъ за Москво= // рЬчья.""  Справа то-же по-французски","бумага, резец",,,http://goskatalog.ru/muzfo-imaginator/rest/images/original/41937013,2.0,Вид Кремля из-за Замоскворечья
63000b64e9a8533a15388f81,"Проспект вниз по Неве реке между Зимним Ее Императорского Величества домом и Академией Наук. Правая часть. Лист из альбома ""План столичного города Санкт-Петербурга с изображением знатнейших оного проспектов, изд. трудами имп. Акад. Наук и художеств"" (СПб.: Академия наук, 1753).","Качалов Григорий Аникиевич , Махаев Михаил Иванович",37053517,Г-16,ОМИИ КП-776,0,6,37259663,"На первом плане изображение реки с парусниками слева и лодками справа, над ним большое пространство неба. На втором плане на берегу в центре здание Кунсткамеры с высокой башней, правее трехэтажный дворец с тремя выступающими ризалитами, центральный декорирован пилястрами. Слева вдали мост и постройки противоположного берега. В левом нижнем углу полей – половина барочного картуша с гербом Санкт-Петербурга.","офорт, бумага",,,http://goskatalog.ru/muzfo-imaginator/rest/images/original/44762523,2.0,Проспект вниз по Неве реке между Зимним домом и Академией Наук
5e4c53b91c266ee13da8b78e,"""Летний дворец"" работы М. Махаева, вырезка из печатного издания",,21156621,ПДМП 5102-от,ГМЗ Пф КП 62335,0,6,21280572,,"бумага, печать",,,http://goskatalog.ru/muzfo-imaginator/rest/images/original/22504332,4.0,Летний дворец в Петербурге
635311df26548921dfeefa0b,Проспект Государственных коллегий с частию Гостинаго двора с восточную сторону,"Махаев Михаил Иванович ,Внуков Еким Терентьевич , Валериани Джузеппе , Соколов Иван Алексеевич",38458171,ГУБ-2806/15,ГМП КП-10207/15,0,6,38683058,,,,,http://goskatalog.ru/muzfo-imaginator/rest/images/original/46668284,1.0,Проспект Государственных коллегий
